"행정구역","2025년03월_총인구수","2025년03월_세대수","2025년03월_세대당 인구","2025년03월_남자 인구수","2025년03월_여자 인구수","2025년03월_남여 비율"
"경상북도 청도군 청도읍유호출장소(4782025400)","1,485","913","          1.63","745","740","          1.01"
"경상북도 청도군 각남면(4782031000)","2,112","1,303","          1.62","1,019","1,093","          0.93"
"경상북도 청도군 풍각면(4782032000)","3,690","2,303","          1.60","1,859","1,831","          1.02"
"경상북도 청도군 각북면(4782033000)","2,291","1,423","          1.61","1,151","1,140","          1.01"
"경상북도 청도군 이서면(4782034000)","4,492","2,588","          1.74","2,211","2,281","          0.97"
"경상북도 청도군 운문면(4782035000)","1,898","1,253","          1.51","961","937","          1.03"
"경상북도 청도군 금천면(4782036000)","3,158","2,067","          1.53","1,634","1,524","          1.07"
"경상북도 청도군 매전면(4782037000)","3,708","2,421","          1.53","1,883","1,825","          1.03"
"경상북도 고령군 (4783000000)","29,977","17,338","          1.73","15,471","14,506","          1.07"
"경상북도 고령군 대가야읍(4783025300)","9,414","5,162","          1.82","4,767","4,647","          1.03"
"경상북도 고령군 덕곡면(4783031000)","1,433","931","          1.54","730","703","          1.04"
"경상북도 고령군 운수면(4783032000)","1,745","1,129","          1.55","887","858","          1.03"
"경상북도 고령군 성산면(4783033000)","2,454","1,507","          1.63","1,350","1,104","          1.22"
"경상북도 고령군 다산면(4783034000)","8,434","4,492","          1.88","4,341","4,093","          1.06"
"경상북도 고령군 개진면(4783035000)","1,797","1,221","          1.47","997","800","          1.25"
"경상북도 고령군 우곡면(4783036000)","1,517","927","          1.64","797","720","          1.11"
"경상북도 고령군 쌍림면(4783037000)","3,183","1,969","          1.62","1,602","1,581","          1.01"
"경상북도 성주군 (4784000000)","41,214","24,100","          1.71","21,562","19,652","          1.10"
"경상북도 성주군 성주읍(4784025000)","13,170","6,870","          1.92","6,652","6,518","          1.02"
"경상북도 성주군 선남면(4784031000)","5,878","3,588","          1.64","3,232","2,646","          1.22"
"경상북도 성주군 용암면(4784032000)","3,490","2,227","          1.57","1,929","1,561","          1.24"
"경상북도 성주군 수륜면(4784033000)","3,156","2,047","          1.54","1,629","1,527","          1.07"
"경상북도 성주군 가천면(4784034000)","1,923","1,258","          1.53","977","946","          1.03"
"경상북도 성주군 금수강산면(4784035500)","1,156","776","          1.49","610","546","          1.12"
"경상북도 성주군 대가면(4784036000)","2,221","1,323","          1.68","1,153","1,068","          1.08"
"경상북도 성주군 벽진면(4784037000)","2,877","1,687","          1.71","1,525","1,352","          1.13"
"경상북도 성주군 초전면(4784038000)","4,194","2,442","          1.72","2,149","2,045","          1.05"
"경상북도 성주군 월항면(4784039000)","3,149","1,882","          1.67","1,706","1,443","          1.18"
"경상북도 칠곡군 (4785000000)","106,521","53,744","          1.98","55,933","50,588","          1.11"
"경상북도 칠곡군 왜관읍(4785025000)","30,411","14,739","          2.06","15,221","15,190","          1.00"
"경상북도 칠곡군 북삼읍(4785025300)","22,897","10,808","          2.12","12,049","10,848","          1.11"
"경상북도 칠곡군 석적읍(4785025600)","29,800","14,765","          2.02","16,360","13,440","          1.22"
"경상북도 칠곡군 지천면(4785031000)","3,752","2,347","          1.60","2,068","1,684","          1.23"
"경상북도 칠곡군 동명면(4785032000)","4,990","2,902","          1.72","2,557","2,433","          1.05"
"경상북도 칠곡군 가산면(4785033000)","3,167","1,924","          1.65","1,703","1,464","          1.16"
"경상북도 칠곡군 약목면(4785036000)","8,601","4,662","          1.84","4,471","4,130","          1.08"
"경상북도 칠곡군 기산면(4785037000)","2,903","1,597","          1.82","1,504","1,399","          1.08"
"경상북도 예천군 (4790000000)","54,301","28,037","          1.94","26,795","27,506","          0.97"
"경상북도 예천군 예천읍(4790025000)","13,623","7,228","          1.88","6,675","6,948","          0.96"
"경상북도 예천군 호명읍(4790025300)","20,850","8,610","          2.42","10,176","10,674","          0.95"
