"행정구역","2025년03월_총인구수","2025년03월_세대수","2025년03월_세대당 인구","2025년03월_남자 인구수","2025년03월_여자 인구수","2025년03월_남여 비율"
"서울특별시  (1100000000)","9,335,734","4,497,896","          2.08","4,504,618","4,831,116","          0.93"
"서울특별시 종로구 (1111000000)","138,184","72,387","          1.91","66,450","71,734","          0.93"
"서울특별시 종로구 청운효자동(1111051500)","10,986","4,915","          2.24","5,007","5,979","          0.84"
"서울특별시 종로구 사직동(1111053000)","8,937","4,562","          1.96","3,940","4,997","          0.79"
"서울특별시 종로구 삼청동(1111054000)","2,189","1,094","          2.00","1,049","1,140","          0.92"
"서울특별시 종로구 부암동(1111055000)","9,016","4,120","          2.19","4,229","4,787","          0.88"
"서울특별시 종로구 평창동(1111056000)","17,233","7,139","          2.41","7,998","9,235","          0.87"
"서울특별시 종로구 무악동(1111057000)","7,829","2,984","          2.62","3,586","4,243","          0.85"
"서울특별시 종로구 교남동(1111058000)","9,512","4,302","          2.21","4,355","5,157","          0.84"
"서울특별시 종로구 가회동(1111060000)","3,763","1,864","          2.02","1,755","2,008","          0.87"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,670","4,934","          1.35","4,019","2,651","          1.52"
"서울특별시 종로구 종로5.6가동(1111063000)","5,284","3,547","          1.49","2,761","2,523","          1.09"
"서울특별시 종로구 이화동(1111064000)","7,018","4,383","          1.60","3,262","3,756","          0.87"
"서울특별시 종로구 혜화동(1111065000)","15,872","9,236","          1.72","7,627","8,245","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","4,488","2,664","          1.68","2,358","2,130","          1.11"
"서울특별시 종로구 창신제2동(1111068000)","7,278","3,907","          1.86","3,746","3,532","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,205","2,746","          2.26","3,038","3,167","          0.96"
"서울특별시 종로구 숭인제1동(1111070000)","5,738","3,010","          1.91","2,770","2,968","          0.93"
"서울특별시 종로구 숭인제2동(1111071000)","10,166","6,980","          1.46","4,950","5,216","          0.95"
"서울특별시 중구 (1114000000)","119,850","64,863","          1.85","57,734","62,116","          0.93"
"서울특별시 중구 소공동(1114052000)","2,171","1,244","          1.75","1,004","1,167","          0.86"
"서울특별시 중구 회현동(1114054000)","4,303","2,486","          1.73","2,238","2,065","          1.08"
"서울특별시 중구 명동(1114055000)","2,515","1,335","          1.88","1,027","1,488","          0.69"
"서울특별시 중구 필동(1114057000)","4,354","2,815","          1.55","2,240","2,114","          1.06"
"서울특별시 중구 장충동(1114058000)","4,575","2,918","          1.57","2,388","2,187","          1.09"
"서울특별시 중구 광희동(1114059000)","5,731","3,970","          1.44","2,808","2,923","          0.96"
"서울특별시 중구 을지로동(1114060500)","3,073","2,110","          1.46","1,657","1,416","          1.17"
"서울특별시 중구 신당동(1114061500)","7,346","4,681","          1.57","3,567","3,779","          0.94"
"서울특별시 중구 다산동(1114062500)","13,029","6,747","          1.93","6,306","6,723","          0.94"
"서울특별시 중구 약수동(1114063500)","15,841","7,687","          2.06","7,302","8,539","          0.86"
"서울특별시 중구 청구동(1114064500)","11,871","5,650","          2.10","5,555","6,316","          0.88"
"서울특별시 중구 신당제5동(1114065000)","10,067","5,416","          1.86","4,877","5,190","          0.94"
"서울특별시 중구 동화동(1114066500)","9,829","3,986","          2.47","4,716","5,113","          0.92"
"서울특별시 중구 황학동(1114067000)","13,106","7,884","          1.66","6,167","6,939","          0.89"
"서울특별시 중구 중림동(1114068000)","12,039","5,934","          2.03","5,882","6,157","          0.96"
"서울특별시 용산구 (1117000000)","203,405","103,236","          1.97","97,137","106,268","          0.91"
"서울특별시 용산구 후암동(1117051000)","15,757","8,275","          1.90","7,545","8,212","          0.92"
"서울특별시 용산구 용산2가동(1117052000)","8,628","4,999","          1.73","4,234","4,394","          0.96"
"서울특별시 용산구 남영동(1117053000)","6,718","4,809","          1.40","4,102","2,616","          1.57"
"서울특별시 용산구 청파동(1117055500)","18,565","11,187","          1.66","8,572","9,993","          0.86"
"서울특별시 용산구 원효로제1동(1117056000)","17,085","9,398","          1.82","7,872","9,213","          0.85"
"서울특별시 용산구 원효로제2동(1117057000)","13,511","6,271","          2.15","6,329","7,182","          0.88"
"서울특별시 용산구 효창동(1117058000)","10,511","4,718","          2.23","4,928","5,583","          0.88"
"서울특별시 용산구 용문동(1117059000)","11,141","5,273","          2.11","5,256","5,885","          0.89"
"서울특별시 용산구 한강로동(1117062500)","20,821","11,213","          1.86","9,842","10,979","          0.90"
"서울특별시 용산구 이촌제1동(1117063000)","24,954","9,104","          2.74","11,696","13,258","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","7,718","3,563","          2.17","3,621","4,097","          0.88"
"서울특별시 용산구 이태원제1동(1117065000)","6,007","3,416","          1.76","2,993","3,014","          0.99"
"서울특별시 용산구 이태원제2동(1117066000)","8,499","4,764","          1.78","4,036","4,463","          0.90"
"서울특별시 용산구 한남동(1117068500)","13,999","7,113","          1.97","6,587","7,412","          0.89"
"서울특별시 용산구 서빙고동(1117069000)","12,369","5,086","          2.43","5,957","6,412","          0.93"
"서울특별시 용산구 보광동(1117070000)","7,122","4,047","          1.76","3,567","3,555","          1.00"
"서울특별시 성동구 (1120000000)","273,523","132,253","          2.07","132,223","141,300","          0.94"
"서울특별시 성동구 왕십리제2동(1120052000)","15,894","7,360","          2.16","7,602","8,292","          0.92"
"서울특별시 성동구 왕십리도선동(1120053500)","25,975","12,126","          2.14","12,202","13,773","          0.89"
"서울특별시 성동구 마장동(1120054000)","21,343","10,845","          1.97","10,483","10,860","          0.97"
"서울특별시 성동구 사근동(1120055000)","12,039","8,339","          1.44","6,222","5,817","          1.07"
"서울특별시 성동구 행당제1동(1120056000)","13,704","6,506","          2.11","6,508","7,196","          0.90"
"서울특별시 성동구 행당제2동(1120057000)","22,535","9,157","          2.46","10,497","12,038","          0.87"
"서울특별시 성동구 응봉동(1120058000)","14,634","5,899","          2.48","6,925","7,709","          0.90"
"서울특별시 성동구 금호1가동(1120059000)","14,507","6,420","          2.26","6,866","7,641","          0.90"
"서울특별시 성동구 금호2.3가동(1120061500)","20,824","9,434","          2.21","9,891","10,933","          0.90"
"서울특별시 성동구 금호4가동(1120062000)","14,008","6,377","          2.20","6,594","7,414","          0.89"
"서울특별시 성동구 옥수동(1120064500)","25,189","10,673","          2.36","11,665","13,524","          0.86"
"서울특별시 성동구 성수1가제1동(1120065000)","15,082","7,341","          2.05","7,464","7,618","          0.98"
"서울특별시 성동구 성수1가제2동(1120066000)","12,702","6,271","          2.03","6,141","6,561","          0.94"
"서울특별시 성동구 성수2가제1동(1120067000)","14,020","7,424","          1.89","7,263","6,757","          1.07"
"서울특별시 성동구 성수2가제3동(1120069000)","9,585","4,999","          1.92","4,745","4,840","          0.98"
"서울특별시 성동구 송정동(1120072000)","9,400","5,242","          1.79","4,938","4,462","          1.11"
"서울특별시 성동구 용답동(1120079000)","12,082","7,840","          1.54","6,217","5,865","          1.06"
"서울특별시 광진구 (1121500000)","331,934","170,639","          1.95","159,056","172,878","          0.92"
"서울특별시 광진구 화양동(1121571000)","23,050","18,195","          1.27","10,845","12,205","          0.89"
"서울특별시 광진구 군자동(1121573000)","18,648","11,258","          1.66","9,178","9,470","          0.97"
"서울특별시 광진구 중곡제1동(1121574000)","15,022","8,662","          1.73","7,121","7,901","          0.90"
"서울특별시 광진구 중곡제2동(1121575000)","20,086","10,538","          1.91","9,460","10,626","          0.89"
"서울특별시 광진구 중곡제3동(1121576000)","15,357","8,469","          1.81","7,560","7,797","          0.97"
"서울특별시 광진구 중곡제4동(1121577000)","27,127","12,999","          2.09","13,175","13,952","          0.94"
"서울특별시 광진구 능동(1121578000)","10,870","6,456","          1.68","4,984","5,886","          0.85"
"서울특별시 광진구 광장동(1121581000)","33,632","11,844","          2.84","16,234","17,398","          0.93"
"서울특별시 광진구 자양제1동(1121582000)","21,747","12,135","          1.79","10,527","11,220","          0.94"
"서울특별시 광진구 자양제2동(1121583000)","24,045","11,295","          2.13","11,592","12,453","          0.93"
"서울특별시 광진구 자양제3동(1121584000)","26,927","11,001","          2.45","12,897","14,030","          0.92"
"서울특별시 광진구 자양제4동(1121584700)","19,670","11,002","          1.79","9,632","10,038","          0.96"
"서울특별시 광진구 구의제1동(1121585000)","22,984","13,264","          1.73","10,891","12,093","          0.90"
"서울특별시 광진구 구의제2동(1121586000)","25,159","11,470","          2.19","11,952","13,207","          0.90"
"서울특별시 광진구 구의제3동(1121587000)","27,610","12,051","          2.29","13,008","14,602","          0.89"
"서울특별시 동대문구 (1123000000)","342,223","174,846","          1.96","167,280","174,943","          0.96"
"서울특별시 동대문구 용신동(1123053600)","38,807","22,044","          1.76","19,148","19,659","          0.97"
"서울특별시 동대문구 제기동(1123054500)","22,886","13,174","          1.74","11,752","11,134","          1.06"
"서울특별시 동대문구 전농제1동(1123056000)","32,742","16,520","          1.98","16,260","16,482","          0.99"
"서울특별시 동대문구 전농제2동(1123057000)","17,600","7,466","          2.36","8,368","9,232","          0.91"
"서울특별시 동대문구 답십리제1동(1123060000)","27,731","13,006","          2.13","13,239","14,492","          0.91"
"서울특별시 동대문구 답십리제2동(1123061000)","26,942","12,397","          2.17","12,884","14,058","          0.92"
"서울특별시 동대문구 장안제1동(1123065000)","37,026","18,380","          2.01","18,180","18,846","          0.96"
"서울특별시 동대문구 장안제2동(1123066000)","32,958","14,736","          2.24","16,240","16,718","          0.97"
"서울특별시 동대문구 청량리동(1123070500)","18,403","10,013","          1.84","9,051","9,352","          0.97"
"서울특별시 동대문구 회기동(1123071000)","10,256","6,632","          1.55","4,816","5,440","          0.89"
"서울특별시 동대문구 휘경제1동(1123072000)","13,233","7,553","          1.75","6,148","7,085","          0.87"
"서울특별시 동대문구 휘경제2동(1123073000)","24,166","12,879","          1.88","12,084","12,082","          1.00"
"서울특별시 동대문구 이문제1동(1123074000)","20,881","11,699","          1.78","10,188","10,693","          0.95"
"서울특별시 동대문구 이문제2동(1123075000)","18,592","8,347","          2.23","8,922","9,670","          0.92"
"서울특별시 중랑구 (1126000000)","378,067","188,661","          2.00","184,934","193,133","          0.96"
"서울특별시 중랑구 면목제2동(1126052000)","23,134","12,139","          1.91","11,437","11,697","          0.98"
"서울특별시 중랑구 면목제4동(1126054000)","17,775","8,904","          2.00","8,832","8,943","          0.99"
"서울특별시 중랑구 면목제5동(1126055000)","14,133","6,334","          2.23","7,005","7,128","          0.98"
"서울특별시 중랑구 면목본동(1126056500)","32,173","17,794","          1.81","15,804","16,369","          0.97"
"서울특별시 중랑구 면목제7동(1126057000)","20,897","10,516","          1.99","10,374","10,523","          0.99"
"서울특별시 중랑구 면목제3.8동(1126057500)","23,752","12,727","          1.87","11,712","12,040","          0.97"
"서울특별시 중랑구 상봉제1동(1126058000)","22,732","10,052","          2.26","11,051","11,681","          0.95"
"서울특별시 중랑구 상봉제2동(1126059000)","20,898","13,169","          1.59","9,828","11,070","          0.89"
"서울특별시 중랑구 중화제1동(1126060000)","18,192","8,828","          2.06","9,001","9,191","          0.98"
"서울특별시 중랑구 중화제2동(1126061000)","23,513","13,472","          1.75","11,998","11,515","          1.04"
"서울특별시 중랑구 묵제1동(1126062000)","33,343","14,949","          2.23","15,856","17,487","          0.91"
"서울특별시 중랑구 묵제2동(1126063000)","17,836","9,176","          1.94","8,764","9,072","          0.97"
"서울특별시 중랑구 망우본동(1126065500)","38,168","18,882","          2.02","18,776","19,392","          0.97"
"서울특별시 중랑구 망우제3동(1126066000)","15,338","8,170","          1.88","7,689","7,649","          1.01"
"서울특별시 중랑구 신내1동(1126068000)","36,940","14,703","          2.51","17,739","19,201","          0.92"
"서울특별시 중랑구 신내2동(1126069000)","19,243","8,846","          2.18","9,068","10,175","          0.89"
"서울특별시 성북구 (1129000000)","420,380","196,988","          2.13","201,254","219,126","          0.92"
"서울특별시 성북구 성북동(1129052500)","15,743","8,079","          1.95","7,335","8,408","          0.87"
"서울특별시 성북구 삼선동(1129055500)","21,913","11,512","          1.90","10,381","11,532","          0.90"
"서울특별시 성북구 동선동(1129057500)","14,903","9,802","          1.52","6,030","8,873","          0.68"
"서울특별시 성북구 돈암제1동(1129058000)","13,971","6,015","          2.32","6,519","7,452","          0.87"
"서울특별시 성북구 돈암제2동(1129059000)","23,098","8,509","          2.71","10,932","12,166","          0.90"
"서울특별시 성북구 안암동(1129060000)","15,509","10,330","          1.50","7,779","7,730","          1.01"
"서울특별시 성북구 보문동(1129061000)","16,003","8,128","          1.97","7,705","8,298","          0.93"
"서울특별시 성북구 정릉제1동(1129062000)","17,511","7,310","          2.40","8,385","9,126","          0.92"
"서울특별시 성북구 정릉제2동(1129063000)","22,062","9,757","          2.26","10,581","11,481","          0.92"
"서울특별시 성북구 정릉제3동(1129064000)","14,062","7,955","          1.77","6,932","7,130","          0.97"
"서울특별시 성북구 정릉제4동(1129065000)","23,782","10,768","          2.21","11,340","12,442","          0.91"
"서울특별시 성북구 길음제1동(1129066000)","35,473","12,828","          2.77","16,772","18,701","          0.90"
"서울특별시 성북구 길음제2동(1129068500)","21,400","8,541","          2.51","10,213","11,187","          0.91"
"서울특별시 성북구 종암동(1129070500)","36,890","16,958","          2.18","18,151","18,739","          0.97"
"서울특별시 성북구 월곡제1동(1129071500)","25,112","10,703","          2.35","12,076","13,036","          0.93"
"서울특별시 성북구 월곡제2동(1129072500)","18,547","9,578","          1.94","8,808","9,739","          0.90"
"서울특별시 성북구 장위제1동(1129076000)","22,993","10,601","          2.17","11,184","11,809","          0.95"
"서울특별시 성북구 장위제2동(1129077000)","12,829","6,563","          1.95","6,277","6,552","          0.96"
"서울특별시 성북구 장위제3동(1129078000)","15,341","6,412","          2.39","7,499","7,842","          0.96"
"서울특별시 성북구 석관동(1129081000)","33,238","16,639","          2.00","16,355","16,883","          0.97"
"서울특별시 강북구 (1130500000)","282,799","143,249","          1.97","136,335","146,464","          0.93"
"서울특별시 강북구 삼양동(1130553400)","24,322","11,647","          2.09","12,046","12,276","          0.98"
"서울특별시 강북구 미아동(1130553500)","20,539","11,816","          1.74","9,824","10,715","          0.92"
"서울특별시 강북구 송중동(1130554500)","27,833","13,711","          2.03","13,271","14,562","          0.91"
"서울특별시 강북구 송천동(1130555500)","22,771","12,143","          1.88","11,259","11,512","          0.98"
"서울특별시 강북구 삼각산동(1130557500)","30,221","11,507","          2.63","14,529","15,692","          0.93"
"서울특별시 강북구 번1동(1130559500)","16,296","9,750","          1.67","8,009","8,287","          0.97"
"서울특별시 강북구 번2동(1130560300)","14,549","7,443","          1.95","6,931","7,618","          0.91"
"서울특별시 강북구 번3동(1130560800)","15,881","7,619","          2.08","7,362","8,519","          0.86"
"서울특별시 강북구 수유1동(1130561500)","19,522","10,481","          1.86","9,513","10,009","          0.95"
"서울특별시 강북구 수유2동(1130562500)","20,160","9,742","          2.07","9,568","10,592","          0.90"
"서울특별시 강북구 수유3동(1130563500)","22,735","13,680","          1.66","11,105","11,630","          0.95"
"서울특별시 강북구 우이동(1130564500)","19,486","9,584","          2.03","9,257","10,229","          0.90"
"서울특별시 강북구 인수동(1130566000)","28,484","14,126","          2.02","13,661","14,823","          0.92"
"서울특별시 도봉구 (1132000000)","302,545","139,002","          2.18","146,102","156,443","          0.93"
"서울특별시 도봉구 창제1동(1132051100)","23,690","10,965","          2.16","11,239","12,451","          0.90"
"서울특별시 도봉구 창제2동(1132051200)","27,613","12,595","          2.19","13,362","14,251","          0.94"
"서울특별시 도봉구 창제3동(1132051300)","12,876","6,355","          2.03","6,396","6,480","          0.99"
"서울특별시 도봉구 창제4동(1132051400)","26,248","11,313","          2.32","12,486","13,762","          0.91"
"서울특별시 도봉구 창제5동(1132051500)","23,586","10,331","          2.28","11,176","12,410","          0.90"
"서울특별시 도봉구 도봉제1동(1132052100)","19,615","10,222","          1.92","9,790","9,825","          1.00"
"서울특별시 도봉구 도봉제2동(1132052200)","25,833","11,867","          2.18","12,602","13,231","          0.95"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,668","9,654","          2.14","9,786","10,882","          0.90"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,589","8,430","          2.09","8,401","9,188","          0.91"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,133","8,229","          1.96","7,656","8,477","          0.90"
"서울특별시 도봉구 쌍문제4동(1132068100)","17,804","7,099","          2.51","8,368","9,436","          0.89"
"서울특별시 도봉구 방학제1동(1132069000)","27,242","12,959","          2.10","13,437","13,805","          0.97"
"서울특별시 도봉구 방학제2동(1132070000)","17,960","9,082","          1.98","8,978","8,982","          1.00"
"서울특별시 도봉구 방학제3동(1132071000)","25,688","9,901","          2.59","12,425","13,263","          0.94"
"서울특별시 노원구 (1135000000)","489,831","218,325","          2.24","234,705","255,126","          0.92"
"서울특별시 노원구 월계1동(1135056000)","20,342","10,079","          2.02","10,477","9,865","          1.06"
"서울특별시 노원구 월계2동(1135057000)","25,091","11,675","          2.15","11,994","13,097","          0.92"
"서울특별시 노원구 월계3동(1135058000)","28,121","12,866","          2.19","13,415","14,706","          0.91"
"서울특별시 노원구 공릉1동(1135059500)","35,590","18,857","          1.89","17,165","18,425","          0.93"
"서울특별시 노원구 공릉2동(1135060000)","41,159","17,981","          2.29","19,962","21,197","          0.94"
"서울특별시 노원구 하계1동(1135061100)","26,085","12,686","          2.06","12,499","13,586","          0.92"
"서울특별시 노원구 하계2동(1135061200)","20,794","8,144","          2.55","9,871","10,923","          0.90"
"서울특별시 노원구 중계본동(1135061900)","22,369","7,888","          2.84","10,801","11,568","          0.93"
"서울특별시 노원구 중계1동(1135062100)","26,106","8,921","          2.93","12,723","13,383","          0.95"
"서울특별시 노원구 중계4동(1135062400)","18,822","8,170","          2.30","9,029","9,793","          0.92"
"서울특별시 노원구 중계2.3동(1135062500)","31,552","14,791","          2.13","14,293","17,259","          0.83"
"서울특별시 노원구 상계1동(1135063000)","36,292","15,538","          2.34","17,436","18,856","          0.92"
"서울특별시 노원구 상계2동(1135064000)","18,789","8,508","          2.21","9,255","9,534","          0.97"
"서울특별시 노원구 상계3.4동(1135066500)","27,043","12,421","          2.18","13,456","13,587","          0.99"
"서울특별시 노원구 상계5동(1135067000)","22,423","10,861","          2.06","10,880","11,543","          0.94"
"서울특별시 노원구 상계6.7동(1135069500)","30,837","13,907","          2.22","14,176","16,661","          0.85"
"서울특별시 노원구 상계8동(1135070000)","21,394","9,069","          2.36","10,116","11,278","          0.90"
"서울특별시 노원구 상계9동(1135071000)","19,181","8,352","          2.30","8,948","10,233","          0.87"
"서울특별시 노원구 상계10동(1135072000)","17,841","7,611","          2.34","8,209","9,632","          0.85"
"서울특별시 은평구 (1138000000)","460,055","215,655","          2.13","217,653","242,402","          0.90"
"서울특별시 은평구 녹번동(1138051000)","35,402","17,443","          2.03","16,497","18,905","          0.87"
"서울특별시 은평구 불광제1동(1138052000)","37,396","18,166","          2.06","17,476","19,920","          0.88"
"서울특별시 은평구 불광제2동(1138053000)","26,468","14,116","          1.88","12,721","13,747","          0.93"
"서울특별시 은평구 갈현제1동(1138055100)","14,181","7,224","          1.96","6,832","7,349","          0.93"
"서울특별시 은평구 갈현제2동(1138055200)","27,147","12,766","          2.13","12,761","14,386","          0.89"
"서울특별시 은평구 구산동(1138056000)","30,874","13,499","          2.29","14,952","15,922","          0.94"
"서울특별시 은평구 대조동(1138057000)","27,116","15,548","          1.74","12,472","14,644","          0.85"
"서울특별시 은평구 응암제1동(1138058000)","32,119","15,081","          2.13","14,896","17,223","          0.86"
"서울특별시 은평구 응암제2동(1138059000)","27,066","10,981","          2.46","13,059","14,007","          0.93"
"서울특별시 은평구 응암제3동(1138060000)","23,100","12,522","          1.84","11,146","11,954","          0.93"
"서울특별시 은평구 역촌동(1138062500)","44,681","21,228","          2.10","20,963","23,718","          0.88"
"서울특별시 은평구 신사제1동(1138063100)","25,996","11,993","          2.17","12,415","13,581","          0.91"
"서울특별시 은평구 신사제2동(1138063200)","18,610","8,676","          2.14","9,155","9,455","          0.97"
"서울특별시 은평구 증산동(1138064000)","15,606","6,759","          2.31","7,526","8,080","          0.93"
"서울특별시 은평구 수색동(1138065000)","21,078","8,533","          2.47","10,160","10,918","          0.93"
"서울특별시 은평구 진관동(1138069000)","53,215","21,120","          2.52","24,622","28,593","          0.86"
"서울특별시 서대문구 (1141000000)","301,943","146,422","          2.06","142,926","159,017","          0.90"
"서울특별시 서대문구 천연동(1141052000)","16,447","7,625","          2.16","7,760","8,687","          0.89"
"서울특별시 서대문구 북아현동(1141055500)","15,275","7,045","          2.17","7,387","7,888","          0.94"
"서울특별시 서대문구 충현동(1141056500)","19,354","9,972","          1.94","9,255","10,099","          0.92"
"서울특별시 서대문구 신촌동(1141058500)","20,426","15,280","          1.34","8,669","11,757","          0.74"
"서울특별시 서대문구 연희동(1141061500)","33,574","18,692","          1.80","15,957","17,617","          0.91"
"서울특별시 서대문구 홍제제1동(1141062000)","24,503","11,113","          2.20","11,436","13,067","          0.88"
"서울특별시 서대문구 홍제제3동(1141064000)","17,431","7,977","          2.19","8,281","9,150","          0.91"
"서울특별시 서대문구 홍제제2동(1141065500)","12,156","5,331","          2.28","5,686","6,470","          0.88"
"서울특별시 서대문구 홍은제1동(1141066000)","21,958","9,659","          2.27","10,561","11,397","          0.93"
"서울특별시 서대문구 홍은제2동(1141068500)","27,982","12,979","          2.16","13,364","14,618","          0.91"
"서울특별시 서대문구 남가좌제1동(1141069000)","16,678","6,169","          2.70","7,972","8,706","          0.92"
"서울특별시 서대문구 남가좌제2동(1141070000)","28,759","13,342","          2.16","13,814","14,945","          0.92"
"서울특별시 서대문구 북가좌제1동(1141071000)","17,340","6,745","          2.57","8,295","9,045","          0.92"
"서울특별시 서대문구 북가좌제2동(1141072000)","30,060","14,493","          2.07","14,489","15,571","          0.93"
"서울특별시 마포구 (1144000000)","360,520","181,157","          1.99","167,718","192,802","          0.87"
"서울특별시 마포구 아현동(1144055500)","28,997","12,358","          2.35","13,447","15,550","          0.86"
"서울특별시 마포구 공덕동(1144056500)","36,009","18,442","          1.95","16,731","19,278","          0.87"
"서울특별시 마포구 도화동(1144058500)","20,400","9,290","          2.20","9,657","10,743","          0.90"
"서울특별시 마포구 용강동(1144059000)","21,190","9,241","          2.29","9,897","11,293","          0.88"
"서울특별시 마포구 대흥동(1144060000)","14,244","8,640","          1.65","6,837","7,407","          0.92"
"서울특별시 마포구 염리동(1144061000)","16,803","7,740","          2.17","7,995","8,808","          0.91"
"서울특별시 마포구 신수동(1144063000)","22,117","10,095","          2.19","10,742","11,375","          0.94"
"서울특별시 마포구 서강동(1144065500)","24,461","12,238","          2.00","11,691","12,770","          0.92"
"서울특별시 마포구 서교동(1144066000)","23,783","15,184","          1.57","10,881","12,902","          0.84"
"서울특별시 마포구 합정동(1144068000)","15,992","9,109","          1.76","7,345","8,647","          0.85"
"서울특별시 마포구 망원제1동(1144069000)","18,653","10,075","          1.85","8,621","10,032","          0.86"
"서울특별시 마포구 망원제2동(1144070000)","17,473","8,291","          2.11","8,089","9,384","          0.86"
"서울특별시 마포구 연남동(1144071000)","14,067","8,340","          1.69","6,547","7,520","          0.87"
"서울특별시 마포구 성산제1동(1144072000)","18,539","9,628","          1.93","8,511","10,028","          0.85"
"서울특별시 마포구 성산제2동(1144073000)","38,449","19,728","          1.95","17,015","21,434","          0.79"
"서울특별시 마포구 상암동(1144074000)","29,343","12,758","          2.30","13,712","15,631","          0.88"
"서울특별시 양천구 (1147000000)","429,468","180,133","          2.38","209,250","220,218","          0.95"
"서울특별시 양천구 목1동(1147051000)","30,009","10,311","          2.91","14,341","15,668","          0.92"
"서울특별시 양천구 목2동(1147052000)","28,228","13,296","          2.12","13,611","14,617","          0.93"
"서울특별시 양천구 목3동(1147053000)","20,874","10,139","          2.06","9,881","10,993","          0.90"
"서울특별시 양천구 목4동(1147054000)","24,082","9,973","          2.41","11,721","12,361","          0.95"
"서울특별시 양천구 목5동(1147055000)","40,668","13,492","          3.01","20,146","20,522","          0.98"
"서울특별시 양천구 신월1동(1147056000)","18,821","9,856","          1.91","9,665","9,156","          1.06"
"서울특별시 양천구 신월2동(1147057000)","20,498","8,673","          2.36","9,987","10,511","          0.95"
"서울특별시 양천구 신월3동(1147058000)","13,962","7,585","          1.84","7,340","6,622","          1.11"
"서울특별시 양천구 신월4동(1147059000)","17,018","6,802","          2.50","8,264","8,754","          0.94"
"서울특별시 양천구 신월5동(1147060000)","13,808","6,355","          2.17","6,821","6,987","          0.98"
"서울특별시 양천구 신월6동(1147061000)","13,717","5,356","          2.56","6,684","7,033","          0.95"
"서울특별시 양천구 신월7동(1147061100)","18,173","9,021","          2.01","8,828","9,345","          0.94"
"서울특별시 양천구 신정1동(1147062000)","19,568","6,915","          2.83","9,479","10,089","          0.94"
"서울특별시 양천구 신정2동(1147063000)","18,559","6,796","          2.73","9,085","9,474","          0.96"
"서울특별시 양천구 신정3동(1147064000)","48,206","19,490","          2.47","23,247","24,959","          0.93"
"서울특별시 양천구 신정4동(1147065000)","31,364","16,414","          1.91","15,163","16,201","          0.94"
"서울특별시 양천구 신정6동(1147067000)","23,941","8,181","          2.93","11,611","12,330","          0.94"
"서울특별시 양천구 신정7동(1147068000)","27,972","11,478","          2.44","13,376","14,596","          0.92"
"서울특별시 강서구 (1150000000)","553,987","273,685","          2.02","264,967","289,020","          0.92"
"서울특별시 강서구 염창동(1150051000)","41,105","16,668","          2.47","19,686","21,419","          0.92"
"서울특별시 강서구 등촌제1동(1150052000)","24,987","14,386","          1.74","11,545","13,442","          0.86"
"서울특별시 강서구 등촌제2동(1150053000)","19,137","8,617","          2.22","9,313","9,824","          0.95"
"서울특별시 강서구 등촌제3동(1150053500)","28,925","15,116","          1.91","13,585","15,340","          0.89"
"서울특별시 강서구 화곡제1동(1150054000)","49,813","28,009","          1.78","24,089","25,724","          0.94"
"서울특별시 강서구 화곡제2동(1150055000)","16,754","8,172","          2.05","8,049","8,705","          0.92"
"서울특별시 강서구 화곡제3동(1150056000)","20,785","9,693","          2.14","9,899","10,886","          0.91"
"서울특별시 강서구 화곡제4동(1150057000)","19,141","9,587","          2.00","9,332","9,809","          0.95"
"서울특별시 강서구 화곡본동(1150059000)","32,062","17,219","          1.86","15,535","16,527","          0.94"
"서울특별시 강서구 화곡제6동(1150059100)","25,614","13,521","          1.89","12,212","13,402","          0.91"
"서울특별시 강서구 화곡제8동(1150059300)","22,704","11,508","          1.97","10,955","11,749","          0.93"
"서울특별시 강서구 가양제1동(1150060300)","33,673","21,110","          1.60","15,039","18,634","          0.81"
"서울특별시 강서구 가양제2동(1150060400)","13,111","7,926","          1.65","6,179","6,932","          0.89"
"서울특별시 강서구 가양제3동(1150060500)","13,581","7,604","          1.79","6,260","7,321","          0.86"
"서울특별시 강서구 발산제1동(1150061100)","35,008","13,566","          2.58","16,495","18,513","          0.89"
"서울특별시 강서구 우장산동(1150061500)","43,255","16,771","          2.58","20,602","22,653","          0.91"
"서울특별시 강서구 공항동(1150062000)","29,192","13,864","          2.11","14,734","14,458","          1.02"
"서울특별시 강서구 방화제1동(1150063000)","40,676","16,803","          2.42","19,814","20,862","          0.95"
"서울특별시 강서구 방화제2동(1150064000)","22,848","12,396","          1.84","11,273","11,575","          0.97"
"서울특별시 강서구 방화제3동(1150064100)","21,616","11,149","          1.94","10,371","11,245","          0.92"
"서울특별시 구로구 (1153000000)","386,518","183,970","          2.10","189,161","197,357","          0.96"
"서울특별시 구로구 신도림동(1153051000)","35,933","14,383","          2.50","17,284","18,649","          0.93"
"서울특별시 구로구 구로제1동(1153052000)","20,298","8,383","          2.42","9,865","10,433","          0.95"
"서울특별시 구로구 구로제2동(1153053000)","21,993","12,069","          1.82","11,001","10,992","          1.00"
